34196 71447
919 2420 2912
871 1614 3058
212 11873 25634
1288 14204 810
12932 33073 1576
10029 12221 180
926 7809 702
78 3076 8479
3557 10064 294
8216 27601 767
68 5978 38305
212 6110 21441
2717 6741 2399
68 15667 42887
79 1273 9558
552 13645 4216
1616 12497 1127
4099 9633 209
12213 26779 994
919 7483 4105
168 6128 537
212 2486 19785
5797 20593 316
5476 24827 415
2811 8720 1063
577 16614 12042
265 9186 584
3034 3084 1734
18368 26711 1947
8388 18698 326
5021 29871 619
30531 32109 25
68 20118 38975
1198 33829 681
620 12189 29206
951 20534 2844
656 2496 4188
2820 5145 985
4090 23021 588
13329 16265 35
12210 12398 103
1273 10976 11445
1731 7002 5742
1920 3818 676
12204 15397 932
68 6431 37411
620 1501 36112
1384 2045 724
1880 2062 3143
917 23502 36972
31012 31053 66
665 7196 1051
15207 26098 189
1468 1471 11870
1273 23439 12244
3391 14074 264
871 25408 2518
68 16546 46630
7153 33593 84
3675 19205 3537
9740 22158 520
917 4223 33249
68 11443 47514
577 625 14585
917 1751 28076
1239 6426 1616
1468 1741 7775
4584 6624 203
30533 31259 125
1609 23680 1770
16333 25195 171
3006 4239 291
15256 16963 162
620 15235 35362
1123 8844 953
9828 11781 1910
917 20441 35428
21472 24835 857
512 7406 14515
1676 24253 821
1468 3006 7432
31327 31358 29
912 23684 2970
21579 25411 537
3575 8567 497
78 12767 7227
30217 31845 43
68 29708 42514
778 1715 896
212 3681 22068
9902 17343 1966
11847 20961 34
1449 25013 17842
7373 7414 864
365 2927 1464
512 2800 14808
10568 27841 1463
551 656 4860
1032 3557 252
663 9272 10244
68 29371 47001
68 17007 39387
212 2551 25302
30301 32062 206
512 21467 15033
1395 9954 6248
917 14317 39292
78 3273 7505
2536 6536 247
1449 10881 16050
17360 21121 73
576 21880 1060
2116 16090 814
917 3563 34659
68 9937 31693
5490 20466 360
917 12209 29852
1273 32229 9085
78 1290 8456
7469 14225 2578
4935 13601 206
7912 24835 558
68 18914 43222
15217 18306 554
9413 19125 39
1471 19953 2542
284 12244 98
5977 30583 1554
6186 20201 56
481 5285 3284
68 33259 34632
5903 8245 1013
4099 7736 1335
552 11676 4175
3575 15286 174
917 1510 37905
21580 24035 1190
21621 24399 82
4380 22734 1470
620 802 29004
5439 25393 558
13431 25649 172
18044 18617 142
4593 28491 89
1271 23785 5497
917 9013 37551
3505 16907 1721
14572 18645 110
1273 5237 11577
1076 1880 3173
938 20594 520
2753 6532 185
620 16646 33543
136 16547 4736
1273 4077 9033
512 23404 15763
919 2307 2796
917 1944 32880
1468 1924 9512
620 3254 33334
78 16703 6013
204 571 1006
656 5643 3443
9828 11987 1639
760 1731 7253
917 5769 28643
68 17062 45240
618 13878 887
22104 26824 114
29871 32099 321
16067 18400 611
620 4576 27043
474 962 644
136 1207 5154
16448 24667 124
68 15937 32685
9933 26773 75
620 10867 34481
1449 5986 17982
620 8384 29227
33 34021 421
620 3402 32828
4103 4274 66
954 5977 1799
512 11602 15125
33 3989 371
917 2476 31342
7808 8071 183
7930 13471 205
1821 17052 217
2634 16414 97
4776 14679 170
2368 2437 1082
3524 3805 812
68 27957 40196
5977 9301 1892
620 10066 33972
577 1185 13120
9887 10108 304
780 3601 3291
1449 3632 20298
19244 30320 58
1867 14748 654
1880 10659 2256
6655 12131 2182
23992 24228 106
1468 11430 9555
2174 8433 8653
663 31453 9134
917 9064 29244
195 5651 634
917 6560 33402
4297 9222 97
917 19019 35507
5661 20415 240
917 4108 31498
4108 4208 129
19242 31434 343
14107 33422 93
1688 29889 739
1273 7554 11564
620 15095 33740
12317 15991 120
19317 30014 1338
14174 33204 78
21579 25495 485
1395 28349 5104
68 2131 34492
14292 25032 494
68 14204 45799
620 9166 30031
943 6741 2329
1932 28913 75
165 16645 1023
512 3870 14097
123 1468 10320
1717 6449 199
3038 19823 611
68 23147 39479
512 1471 12357
2174 10111 7307
3984 7598 492
3336 16809 236
1247 2904 231
212 29719 18366
400 1731 7978
12213 21334 1282
7469 8734 2251
2364 15250 6004
2844 16776 133
577 15171 15635
780 1650 3191
29944 30326 356
5600 13562 252
620 14256 30848
68 2278 39616
68 28635 38719
68 33743 42499
4691 22821 1654
1359 4813 292
68 10989 46184
10690 29502 2728
548 26512 257
512 3006 15911
5628 23620 1270
620 20016 31466
68 6029 32940
19868 33653 59
11283 16668 305
917 26387 35522
1021 3722 424
663 9560 8828
620 14599 33002
2045 15152 844
21003 27136 88
512 9222 15193
9446 31590 320
935 21604 814
15985 22156 100
6044 7630 101
511 2400 682
5680 23481 269
495 15567 347
1033 10528 228
897 23813 108
1449 6148 19602
577 2020 14789
663 29788 11327
780 6128 3629
512 5687 12215
121 10929 1734
12880 13089 151
917 1427 37166
917 14955 29490
1609 6198 1857
3533 12417 332
4027 8693 380
2174 8483 7379
734 6047 584
17137 21404 181
656 18949 4249
1583 5388 779
597 18924 745
68 11389 42503
620 6424 31868
2189 22410 1275
3951 6741 2608
3799 8558 466
10277 10453 319
6408 9250 1046
3395 17303 296
186 6751 1289
935 5736 635
512 7337 11886
656 840 3841
121 12509 2125
917 935 40061
512 2408 11651
1392 5007 256
917 11593 30591
68 23192 36060
26733 27645 74
620 1830 26202
6625 29168 71
16195 20569 354
121 1731 10063
2054 2133 1195
1583 24003 886
577 28796 15173
7589 30064 1567
5468 8088 274
18774 28714 79
68 4759 45219
21195 28711 386
3438 12096 6835
16383 25443 42
917 2211 38919
919 16283 3003
2 2364 4797
512 1601 11909
1273 10568 12658
1468 33706 10591
19305 30758 47
608 21370 2505
577 22993 13607
3591 27880 2113
4721 10894 626
780 20667 2948
917 3479 33454
1449 19924 20655
68 9858 37696
620 4826 34218
9581 31917 335
2630 21570 148
5493 5664 867
1365 6700 270
24657 25256 283
30976 32535 42
2581 7785 437
595 26740 904
68 18823 44204
206 566 502
8220 27545 220
620 16142 30600
2076 15621 294
1449 33090 16233
19205 31534 545
620 8648 26577
919 1715 4353
68 33205 40728
5817 11269 145
12914 13208 640
68 10235 33292
15946 17957 232
1367 9356 5385
1449 9999 16280
917 30014 41514
9901 14416 480
1449 7517 15694
656 2639 3623
212 870 19284
211 16540 127
3569 9902 1997
1123 1181 1059
5288 7134 891
608 21807 2473
577 4664 12415
68 17879 38702
10450 12530 287
15267 18774 77
121 136 6851
8705 32506 721
3247 3982 69
663 2751 10715
917 980 27322
7469 20035 2186
6423 7569 350
30269 31275 599
552 8463 4991
2811 14205 1009
68 4444 32715
212 4581 24219
1449 6676 22052
6405 8931 579
3505 12137 2291
716 2835 580
1731 3848 7332
95 15877 1408
4061 8872 222
577 2873 14786
149 373 469
919 2612 2783
1609 5611 1489
7589 31743 1370
11703 21084 454
400 7864 2473
1198 19900 774
68 7070 43547
10690 26838 2416
1449 34143 15040
917 32182 39537
2327 21694 63
1273 3159 8908
2062 3603 136
11744 18258 757
620 8313 31695
4682 22470 313
5110 32725 2902
10617 11890 101
15179 15995 327
5581 8007 98
9558 9719 1024
15272 27177 121
917 18762 28945
3171 3372 257
15037 17276 531
15081 26333 143
1273 10768 9648
728 5781 1062
21369 22183 73
917 22501 32989
1449 20068 17504
192 8059 1212
620 9982 36683
665 23288 870
917 5200 36214
512 24003 14303
19158 31094 930
4841 6966 367
8328 12248 88
3438 27891 6409
5274 14300 50
1185 4512 1426
1154 1468 9098
512 8386 13218
2174 14512 7606
663 19214 11507
6408 14136 1174
3337 12658 183
19510 30392 478
23411 24624 53
21563 25460 748
204 15744 821
1395 15521 4297
1021 15272 531
1 3438 5623
2820 9380 837
2174 3784 8158
5304 32671 186
6969 21848 121
552 14683 4780
647 2437 656
3776 26762 103
620 6660 29632
3084 23003 1375
13012 32896 727
917 1915 38716
19069 26146 69
4380 32080 1038
68 23086 37865
1159 6116 283
68 20666 36670
1273 12722 11304
136 3116 4767
6795 18803 31
16411 24087 194
780 31682 3740
2054 3505 2900
2088 2128 107
901 13486 974
1100 18194 308
32190 32791 27
1271 4816 5105
1367 31519 5500
68 7118 41666
400 5427 2351
1449 11702 17081
2306 13499 2004
3524 21857 1797
10802 22885 120
9558 32173 879
17085 17630 79
196 1449 18222
3591 26598 1867
1198 7166 937
20308 24585 312
265 6607 403
6546 27227 5914
1467 1731 6465
1616 7819 934
5628 16252 1378
3947 4061 296
4932 11944 426
1271 14797 6415
512 30132 11093
951 8001 2542
68 14595 36575
576 6866 1242
389 917 31938
620 7184 36773
512 18084 14755
3675 7205 2083
917 23347 27293
30104 32380 121
955 2672 1060
917 6189 32671
1003 14280 178
1920 12318 772
68 114 44529
5904 6741 2849
608 1771 3054
27784 28179 17
604 3675 5529
26179 26356 82
481 4148 2896
620 5052 24718
21522 25424 1028
917 12404 37197
30438 30456 57
9812 28227 83
620 13718 34411
2633 16204 227
1807 13919 1831
2811 9048 1154
2174 3438 16767
663 6219 11768
838 5181 186
12825 12984 166
12195 18228 158
68 33383 45260
11053 31494 720
13321 16337 98
16442 16443 857
656 12636 4157
917 18990 39756
4380 31757 1362
13776 19951 1884
136 20236 4821
68 2981 40371
133 2927 785
1692 7524 406
1273 33959 10732
4061 6118 222
620 1771 35120
435 17679 146
620 26995 26793
1335 17761 246
19461 30397 157
68 15560 46360
212 1207 20863
1590 22878 200
1537 19195 419
1600 5493 1025
604 15381 4158
1367 22743 5736
68 16844 38728
398 1271 6431
50 1288 635
496 28917 1172
5391 20594 493
656 13214 4115
2367 9186 391
78 16841 7617
13103 15081 1728
9828 14654 1736
4721 28498 573
604 10801 4092
9880 20980 89
14729 16861 408
917 3395 39691
212 14812 23274
2219 15410 802
6546 15565 5159
2546 6198 529
546 10000 832
2370 24523 191
7469 16645 2959
68 6332 33480
9571 32841 1166
10206 14304 114
2811 11188 885
19422 22739 319
620 11016 28954
212 1583 24821
1102 15129 261
1654 7932 100
16425 23981 857
19478 31817 492
1468 6222 8769
864 2542 684
917 13370 29324
577 10730 14570
2486 24565 457
12987 13197 901
37 2737 250
78 33825 7712
593 28492 1126
917 21500 30896
15470 17292 100
5803 23555 564
432 4512 1413
19296 32776 54
2820 19172 746
2976 9068 338
917 16371 31131
390 5694 1728
68 6468 35304
68 22849 38263
620 1530 31017
1870 27535 92
68 24814 47181
212 3182 22399
33 917 33218
212 15378 25702
577 28532 16684
4888 10753 88
312 1349 352
3084 9178 1322
5145 9407 344
663 13780 11455
68 6850 32455
570 15471 462
6867 16921 130
1325 27212 691
356 21019 609
1538 2297 963
21422 27406 81
780 21475 2915
1316 2297 1005
656 12832 4196
3689 6527 267
917 10532 27194
2364 5380 6648
1367 21341 4514
402 5417 696
1731 20215 7728
917 5599 31623
519 582 892
207 18254 2894
15217 26968 387
212 33863 23033
20437 24801 121
68 8553 41832
83 917 39148
2364 20602 4764
13776 28033 1927
663 30660 8289
917 5970 35162
1731 11281 5606
917 3457 40705
481 8874 3096
620 4799 34702
620 2364 32309
712 33144 736
390 1606 1569
620 27443 32825
68 579 33375
3438 9824 5971
307 11053 612
577 919 15130
3518 8185 479
1220 23077 48
29833 30875 40
15847 27867 521
6546 27388 5008
1199 1273 9090
2223 4956 50
7689 11047 105
577 8306 11890
1468 31207 9911
13327 21632 499
1293 5199 107
8887 31711 517
620 7425 25753
78 6173 7108
512 16702 13807
22639 30315 188
1580 2424 284
4166 11045 300
21580 24271 1166
546 6741 2941
68 4071 46502
620 11181 25327
68 29530 45544
511 7856 710
2174 17031 9174
212 7993 26341
19158 22583 743
917 10243 40532
917 7740 32696
1185 19849 623
593 1395 7081
1867 19095 688
12351 20689 56
68 11519 37036
5409 21560 417
15011 20975 449
919 13301 3079
21580 24401 1717
1273 10260 8430
1468 11424 10604
2364 24719 5871
212 29645 23926
2045 27824 762
3438 10691 6021
212 27568 25780
212 14528 18296
23693 24231 42
9902 26673 1408
4320 16780 2494
13344 16329 227
9558 32090 920
14113 21472 812
68 1267 37788
1731 8914 5819
2370 25461 203
6270 8975 152
1185 5301 468
620 27487 35963
21709 25222 205
1273 19479 9278
6676 26789 1948
1449 4691 16125
19252 32294 185
1449 2261 16979
10556 18368 2100
2751 19153 83
10805 15170 82
68 3784 33264
3438 26722 7217
13799 18714 344
1121 4317 226
9278 31308 129
68 12440 32885
16758 20196 365
620 20004 34698
577 10599 13161
552 22942 4325
3438 17507 5810
576 11758 1171
3675 29804 2970
17592 19081 538
579 1344 237
17737 17870 113
2045 27258 539
512 8360 11178
2159 12821 521
6874 22874 192
9369 30665 79
512 28330 12719
212 22869 18032
6884 15983 70
5110 19572 3502
512 14520 12440
663 32713 10486
4721 15153 585
1271 15272 4766
20496 24740 108
29870 30353 178
3844 8958 91
2029 15779 67
10542 18533 54
1026 3587 687
20327 25094 1306
577 7323 12747
1271 15688 6445
620 33377 24874
6267 19675 493
12207 22821 1467
8016 23418 195
10690 22352 2752
8330 10541 484
1449 15217 16172
121 20280 2102
400 20319 2359
12958 32929 118
712 32915 1101
262 2538 333
9476 29959 83
68 16787 42514
2364 21658 4530
68 27315 46827
1731 34026 5729
604 6929 3504
1183 4448 71
1808 3574 2921
1113 14065 1290
9828 17165 1270
1731 6443 5867
390 23654 1214
871 7802 2758
204 13613 889
8935 11230 66
2174 6692 6965
178 8245 1331
68 14573 46537
663 4534 11645
780 20528 3676
6712 13103 1649
511 2317 1059
68 7236 47418
2306 16284 1857
3636 29302 189
68 6261 34111
1104 10094 3515
206 16013 631
19349 19630 36
3513 22856 217
68 26538 36233
18984 21771 128
2174 29198 7870
620 22329 32111
3784 8268 458
1380 28544 425
68 7595 46933
3129 7469 2693
1644 2643 67
5803 23502 552
1395 7736 5424
78 6059 7910
2811 4072 1168
13521 24965 261
620 3889 33941
3032 8978 1012
2368 2542 1264
6361 12548 753
196 5628 2452
1429 3805 849
3032 4024 1222
2752 8693 325
663 5026 9409
2383 13099 261
2169 15944 98
3712 15044 1508
212 11751 20970
1731 7339 6696
11226 33269 113
72 16812 70
14749 27695 41
68 1800 39503
1922 12145 384
136 12782 4138
1808 10693 3038
14470 18220 54
2174 14695 9876
663 19452 11110
18 1273 9934
1408 4840 187
1445 2815 251
8388 26099 321
78 9035 7857
312 1428 317
512 7373 13213
437 14008 242
2459 16404 83
1880 9955 2842
212 11901 22458
917 33653 35646
23420 30667 40
2364 24949 5428
871 20294 3373
6655 17875 2515
7662 33388 115
951 1579 2189
136 19687 5807
212 7435 26185
934 7834 329
17055 20719 66
1513 12806 80
6572 10122 222
11568 12972 47
1449 7049 17100
2189 27280 940
21488 21522 833
24592 24908 56
6856 14649 92
577 1972 16616
2174 15256 9839
1369 18141 572
1771 6741 3568
6849 26748 460
24324 25817 44
577 8235 13764
9886 12145 252
1731 34183 5368
1404 18525 654
2002 16141 188
9902 15543 1600
1273 10991 11433
1395 14041 4477
577 4562 13049
10077 15671 97
16780 22995 2492
620 10201 33397
6668 9723 112
68 12650 37655
6546 16117 5919
1468 1484 8781
917 15074 33719
152 15837 516
1605 5415 1013
20133 33506 117
620 787 34463
1468 10163 8538
4867 13775 397
2123 6822 964
1715 6741 3569
10333 23090 77
24442 25076 124
1359 29095 407
584 11652 767
12824 33084 139
663 917 42846
21 1449 19931
2174 27745 7309
1422 18525 479
1449 7919 19245
620 12733 28007
511 30414 709
16234 25847 381
137 204 1626
8705 8887 1134
360 27297 641
50 68 33827
577 10052 15527
1271 2235 5431
3424 23106 373
68 18348 46027
570 12049 324
10748 14692 69
2174 27873 9802
2496 24090 390
951 16320 3041
620 19829 32827
6231 7469 2868
14063 22930 190
20751 20902 143
1146 13174 376
1676 21450 780
1271 9758 4743
620 7036 36148
917 2319 34293
21710 24439 84
620 1263 25842
577 6734 15493
6200 23118 244
1880 18036 2924
2993 11395 241
552 13896 5018
19134 32414 56
620 22208 33831
917 17303 39002
68 9960 32445
3641 3670 295
5628 20428 1102
1830 15483 1216
6546 12205 5575
620 628 33007
15405 23292 373
9847 22274 44
942 30435 1068
10026 13738 81
5477 16417 112
1825 12174 242
1121 3046 245
917 3949 40289
9902 29284 1861
18564 20649 117
577 13283 15240
551 955 1594
212 21846 18041
103 212 22978
68 2841 41175
3518 26662 598
192 8090 1249
6561 20827 93
656 21558 3915
12934 33142 131
23992 25527 125
68 6640 39512
248 917 37256
109 6738 362
1367 9912 4546
4721 26999 647
6296 7554 467
95 2120 1140
68 1044 45459
20302 24040 150
5437 8067 75
481 4496 3006
19158 31522 632
1449 12609 20858
5145 7193 320
1808 4659 3487
2299 2368 1890
620 34106 25314
14528 15682 253
78 10444 6195
18002 18027 210
604 15623 3732
68 5880 37603
68 22190 33200
3438 15788 5910
400 23680 2540
620 1109 35429
663 9340 10362
917 8234 27608
18355 21857 2168
15540 19098 330
306 15491 162
795 30867 2355
1468 3224 7789
221 917 30337
274 595 786
10919 20860 45
210 10932 135
16174 25202 503
68 18574 35318
7312 32038 265
7586 9134 77
196 1477 1439
464 3909 206
25162 25332 172
620 10892 32309
917 3642 30960
1395 9782 4805
620 5945 26203
2736 9458 1531
512 2977 14555
980 1701 383
620 17155 26582
3954 16635 191
2364 5737 5628
68 5027 42795
512 11619 11782
577 21968 16524
608 17711 2474
6023 7269 364
1449 2368 18158
2870 9400 352
6361 24632 797
5110 22750 2983
1486 6408 1356
7531 9036 213
19618 32377 677
1271 1616 5371
437 3559 244
10690 14496 3366
53 400 2371
10735 10884 461
1449 8634 15666
20430 23489 280
15450 18519 88
2962 4380 1339
312 3597 342
212 990 24988
620 10091 35539
951 25170 2179
1271 10333 5954
5145 9273 348
620 5095 24772
3497 9740 447
